record_index,sequence,time_s,tick_ms,tick_elapsed_ms,ch1_raw_uV,ch2_raw_uV,ch1_filtered_uV,ch2_filtered_uV,sequence_gap_before,byte_offset_adjustment,imputed_fields
2000,2000,1.0000000,90905,1000,19298.9922,26349.9512,2.08123401448,-6.31998396519,0,0,
2001,2001,1.0005000,90906,1001,19301.877,26358.8457,4.79291058673,1.37882241275,0,0,
2002,2002,1.0010000,90906,1001,19302.1172,26369.0625,4.13780918024,9.51438297263,0,0,
2003,2003,1.0015000,90907,1002,19304.1621,26383.7285,3.96174217157,22.0965068759,0,0,
2004,2004,1.0020000,90907,1002,19295.9863,26389.0156,-3.8046862616,23.567888998,0,0,
2005,2005,1.0025000,90908,1003,19291.0586,26386.252,-7.52318340272,17.4525075256,0,0,
2006,2006,1.0030000,90908,1003,19296.4688,26376.7559,-1.99016136108,6.61762704699,0,0,
2007,2007,1.0035000,90909,1004,19299.3535,26366.6582,1.2013444362,-0.731471012456,0,0,
2008,2008,1.0040000,90909,1004,19295.748,26365.5781,-1.2815086226,0.179438186146,0,0,
2009,2009,1.0045000,90910,1005,19294.7852,26367.7422,-1.20461082967,3.02457875714,0,0,
2010,2010,1.0050000,90910,1005,19291.1797,26378.5605,-4.52548012138,10.2728324643,0,0,
2011,2011,1.0055000,90911,1006,19294.0645,26381.4453,-1.13110223895,10.3911470335,0,0,
2012,2012,1.0060000,90911,1006,19292.502,26375.3125,-2.22665000906,2.13952240786,0,0,
2013,2013,1.0065000,90912,1007,19293.8242,26375.9141,0.91426162779,-0.486930094181,0,0,
2014,2014,1.0070000,90912,1007,19292.3809,26372.9082,0.754420719567,-6.30358557335,0,0,
2015,2015,1.0075000,90913,1008,19297.4297,26374.4707,4.79515534309,-6.7320105472,0,0,
2016,2016,1.0080000,90913,1008,19298.752,26383.7285,5.23459846393,1.07476516251,0,0,
2017,2017,1.0085000,90914,1009,19300.4355,26388.2969,4.89852100169,4.8071817044,0,0,
2018,2018,1.0090000,90914,1009,19298.873,26382.6465,1.99454181491,-0.643289157864,0,0,
2019,2019,1.0095000,90915,1010,19294.3047,26376.2754,-2.73978966463,-4.97268989199,0,0,
2020,2020,1.0100000,90915,1010,19295.1465,26373.0293,-1.06956310001,-7.45942927094,0,0,
2021,2021,1.0105000,90916,1011,19296.3477,26370.625,1.269897098,-10.2015937558,0,0,
2022,2022,1.0110000,90916,1011,19299.1133,26372.5488,2.76503944349,-7.51137114818,0,0,
2023,2023,1.0115000,90917,1012,19294.9043,26373.6309,-1.4907746727,-6.23258334387,0,0,
2024,2024,1.0120000,90917,1012,19293.7031,26377.5957,-0.923061142336,-2.15961237067,0,0,
2025,2025,1.0125000,90918,1013,19290.2168,26378.5605,-4.23465284927,-1.47125054538,0,0,
2026,2026,1.0130000,90918,1013,19294.666,26383.8496,-0.307392290721,3.90697053693,0,0,
2027,2027,1.0135000,90919,1014,19294.1855,26386.252,0.113456883806,6.35190437906,0,0,
2028,2028,1.0140000,90919,1014,19295.3867,26390.8203,2.59405580167,5.85844912431,0,0,
2029,2029,1.0145000,90920,1015,19295.1465,26395.5078,2.55446003436,4.08174133905,0,0,
2030,2030,1.0150000,90920,1015,19291.2988,26397.791,-1.0742623769,2.14023974634,0,0,
2031,2031,1.0155000,90921,1016,19294.7852,26399.5938,2.43045201844,0.823934285132,0,0,
2032,2032,1.0160000,90921,1016,19292.1406,26397.1895,-0.0639664828017,-3.23981750857,0,0,
2033,2033,1.0165000,90922,1017,19296.5879,26394.0645,3.55639395634,-7.82343171594,0,0,
2034,2034,1.0170000,90922,1017,19293.9434,26385.7715,1.04068961065,-12.9378784805,0,0,
2035,2035,1.0175000,90923,1018,19291.4199,26391.1797,-1.57135149961,-5.7441775044,0,0,
2036,2036,1.0180000,90923,1018,19288.0527,26390.2188,-3.22307848345,-4.71290331413,0,0,
2037,2037,1.0185000,90924,1019,19286.3711,26392.0215,-5.00552878518,-2.54069835393,0,0,
2038,2038,1.0190000,90924,1019,19284.8086,26390.7012,-5.75648809382,-2.26209795463,0,0,
2039,2039,1.0195000,90925,1020,19287.0918,26396.9512,-2.17802630097,1.79548918795,0,0,
2040,2040,1.0200000,90925,1020,19283.4863,26403.3203,-3.18212771969,3.19232554744,0,0,
2041,2041,1.0205000,90926,1021,19286.0098,26407.2871,0.0171692393095,-0.174235877515,0,0,
2042,2042,1.0210000,90926,1021,19289.377,26410.0527,3.23146751018,-3.53469982962,0,0,
2043,2043,1.0215000,90927,1022,19293.3418,26410.8926,5.13594733153,-6.51772452323,0,0,
2044,2044,1.0220000,90927,1022,19295.8672,26413.0566,7.63646088726,-6.8365152954,0,0,
2045,2045,1.0225000,90928,1023,19299.834,26415.3418,9.97370038254,-5.91810696931,0,0,
2046,2046,1.0230000,90928,1023,19298.1504,26417.9844,5.40363885013,-3.87245022394,0,0,
