time_s,emg_record_index,emg_sequence,emg_tick_ms,ch1_raw_uV,ch2_raw_uV,ch1_filtered_uV,ch2_filtered_uV,imu0_source_offset_ms,imu0_accel_x_g,imu0_accel_y_g,imu0_accel_z_g,imu0_gyro_x_dps,imu0_gyro_y_dps,imu0_gyro_z_dps,imu0_mag_x_raw,imu0_mag_y_raw,imu0_mag_z_raw,imu0_angle_x_deg,imu0_angle_y_deg,imu0_angle_z_deg,imu0_battery_voltage,imu1_source_offset_ms,imu1_accel_x_g,imu1_accel_y_g,imu1_accel_z_g,imu1_gyro_x_dps,imu1_gyro_y_dps,imu1_gyro_z_dps,imu1_mag_x_raw,imu1_mag_y_raw,imu1_mag_z_raw,imu1_angle_x_deg,imu1_angle_y_deg,imu1_angle_z_deg,imu1_battery_voltage,imu2_source_offset_ms,imu2_accel_x_g,imu2_accel_y_g,imu2_accel_z_g,imu2_gyro_x_dps,imu2_gyro_y_dps,imu2_gyro_z_dps,imu2_mag_x_raw,imu2_mag_y_raw,imu2_mag_z_raw,imu2_angle_x_deg,imu2_angle_y_deg,imu2_angle_z_deg,imu2_battery_voltage
1.022,2000,2000,289430,18163.6796875,25666.9609375,5.462084233219647,20.091848220315864,11.00000000000012,-0.009748186383928527,0.9838692801339285,-0.17996651785714282,-1.9705636160714324,-1.8615722656249967,-0.5078996930803599,-4213.071428571428,2598.75,-1184.857142857143,100.52764892578125,1.5025765555245414,-171.08106340680803,3.4839285714285717,1.000000000000112,0.034565172697368356,0.9757144325657895,-0.21785053453947376,-2.849378083881577,1.5708521792763077,0.9605006167763142,-156.1578947368419,2407.3684210526317,5132.578947368422,102.9494114925987,-0.8028692948190894,133.06206954152958,3.55,9.000000000000119,-0.07986582880434784,0.9170983355978262,0.3930027173913043,0.5705460258152143,-0.687308933423916,0.7085385529891303,975.2173913043478,2697.304347826087,-3544.869565217391,67.3385487432065,4.0374755859375,2.2760805876358745,3.5539130434782606
1.0225,2001,2001,289431,18163.318359375,25680.421875,3.393905986374306,29.387083078701025,11.500000000000066,-0.00954764229910712,0.9836687360491071,-0.1797572544642857,-1.988002232142859,-1.8463134765624982,-0.5198887416294656,-4213.392857142857,2598.375,-1184.7142857142858,100.52627563476562,1.5034593854631737,-171.08165196010046,3.484107142857143,1.5000000000000568,0.034269634046052606,0.9755345394736842,-0.21813322368421056,-2.8397409539473677,1.5323036595394701,0.9524696751644729,-155.23684210526307,2407.0526315789475,5133.868421052632,102.94767680921052,-0.8033029656661199,133.06264776932562,3.55,9.500000000000064,-0.07990828804347826,0.9173212466032609,0.39291779891304346,0.5479895550271734,-0.7085385529891308,0.7072117017663043,974.6739130434783,2697.0434782608695,-3543.695652173913,67.33842932659647,4.0374755859375,2.2767970872961882,3.554130434782609
1.023,2002,2002,289431,18165.603515625,25680.0625,5.1767189135734775,25.821122953398174,12.00000000000001,-0.009347098214285716,0.9834681919642857,-0.17954799107142858,-2.0054408482142856,-1.8310546875,-0.5318777901785714,-4213.714285714285,2598.0,-1184.5714285714287,100.52490234375,1.5043422154017776,-171.08224051339286,3.4842857142857144,2.0000000000000018,0.03397409539473685,0.975354646381579,-0.21841591282894737,-2.830103824013158,1.4937551398026325,0.9444387335526317,-154.31578947368422,2406.7368421052633,5135.157894736842,102.9459421258224,-0.8037366365131504,133.06322599712172,3.55,10.000000000000009,-0.07995074728260869,0.9175441576086957,0.3928328804347826,0.5254330842391326,-0.7297681725543457,0.7058848505434784,974.1304347826087,2696.782608695652,-3542.521739130435,67.3383099099864,4.0374755859375,2.2775135869565304,3.5543478260869565
1.0235,2003,2003,289432,18169.689453125,25674.291015625,6.8292405954260245,17.084369841791748,12.500000000000178,-0.009146554129464218,0.9832676478794642,-0.17933872767857137,-2.02287946428572,-1.815795898437495,-0.5438668387276826,-4214.035714285715,2597.625,-1184.4285714285713,100.52352905273438,1.50522504534041,-171.08282906668526,3.484464285714286,2.5000000000001688,0.03367855674342096,0.9751747532894737,-0.2186986019736843,-2.8204666940789442,1.4552066200657778,0.936407791940787,-153.39473684210498,2406.4210526315787,5136.447368421053,102.94420744243422,-0.8041703073602093,133.06380422491776,3.55,10.500000000000176,-0.07999320652173914,0.9177670686141305,0.39274796195652173,0.5028766134510818,-0.7509977921195701,0.7045579993206519,973.586956521739,2696.5217391304345,-3541.347826086956,67.33819049337637,4.0374755859375,2.278230086616844,3.5545652173913043
1.024,2004,2004,289432,18175.21875,25659.748046875,10.65899568382699,0.2831742235751129,13.000000000000123,-0.008946010044642813,0.9830671037946428,-0.17912946428571425,-2.040318080357147,-1.8005371093749967,-0.5558558872767884,-4214.357142857143,2597.25,-1184.2857142857142,100.52215576171875,1.5061078752790138,-171.08341761997767,3.484642857142857,3.0000000000001137,0.033383018092105206,0.9749948601973684,-0.2189812911184211,-2.810829564144735,1.4166581003289402,0.9283768503289459,-152.47368421052613,2406.1052631578946,5137.736842105263,102.94247275904604,-0.8046039782072398,133.06438245271386,3.55,11.00000000000012,-0.08003566576086957,0.9179899796195652,0.39266304347826086,0.48032014266304085,-0.772227411684785,0.7032311480978259,973.0434782608695,2696.2608695652175,-3540.173913043478,67.33807107676631,4.0374755859375,2.2789465862771863,3.554782608695652
1.0245,2005,2005,289433,18176.30078125,25649.53125,9.347293883408003,-10.133837459974838,13.500000000000068,-0.008745465959821407,0.9828665597098214,-0.17892020089285712,-2.0577566964285734,-1.7852783203124982,-0.5678449358258941,-4214.678571428572,2596.875,-1184.142857142857,100.52078247070312,1.506990705217646,-171.0840061732701,3.4848214285714287,3.5000000000000586,0.03308747944078945,0.9748149671052632,-0.2192639802631579,-2.8011924342105257,1.3781095805921026,0.9203459087171046,-151.5526315789473,2405.7894736842104,5139.026315789474,102.94073807565792,-0.8050376490542703,133.0649606805099,3.55,11.500000000000066,-0.080078125,0.918212890625,0.392578125,0.457763671875,-0.79345703125,0.701904296875,972.5,2696.0,-3539.0,67.33795166015625,4.0374755859375,2.2796630859375,3.5549999999999997
1.025,2006,2006,289433,18183.6328125,25657.583984375,12.60334964073827,-3.4500606932912863,14.000000000000012,-0.008544921875,0.982666015625,-0.1787109375,-2.0751953125,-1.77001953125,-0.579833984375,-4215.0,2596.5,-1184.0,100.5194091796875,1.50787353515625,-171.0845947265625,3.4850000000000003,4.0000000000000036,0.0327919407894737,0.9746350740131579,-0.21954666940789472,-2.7915553042763164,1.339561060855265,0.9123149671052635,-150.63157894736847,2405.4736842105262,5140.315789473684,102.93900339226974,-0.8054713199013293,133.06553890830594,3.55,11.00000000000012,-0.08012058423913043,0.9184358016304348,0.39249320652173914,0.4352072010869592,-0.8146866508152149,0.7005774456521741,971.9565217391305,2695.7391304347825,-3537.826086956522,67.33783224354619,4.0374755859375,2.2803795855978137,3.555217391304348
1.0255,2007,2007,289434,18179.064453125,25670.205078125,5.692765394308993,5.901746942519408,13.499999999999845,-0.008344377790178506,0.9824654715401785,-0.1785016741071428,-2.092633928571434,-1.754760742187495,-0.5918230329241112,-4215.321428571428,2596.125,-1183.857142857143,100.51803588867188,1.508756365094854,-171.0851832798549,3.4851785714285715,4.5000000000001705,0.03249640213815781,0.9744551809210525,-0.21982935855263167,-2.7819181743421026,1.3010125411184101,0.9042840254934188,-149.71052631578922,2405.157894736842,5141.605263157895,102.93726870888156,-0.8059049907483598,133.06611713610198,3.55,10.499999999999954,-0.08016304347826088,0.9186587126358696,0.39240828804347827,0.4126507302989082,-0.8359162703804393,0.6992505944293476,971.4130434782608,2695.478260869565,-3536.652173913043,67.33771282693613,4.0374755859375,2.281096085258156,3.5554347826086956
1.026,2008,2008,289434,18180.267578125,25680.0625,4.5649836846394924,13.307871576677744,12.9999999999999,-0.008143833705357099,0.9822649274553571,-0.17829241071428567,-2.110072544642861,-1.7395019531249967,-0.603812081473217,-4215.642857142857,2595.75,-1183.7142857142858,100.51666259765625,1.5096391950334862,-171.08577183314733,3.485357142857143,5.0000000000001155,0.032200863486842056,0.9742752878289473,-0.22011204769736847,-2.7722810444078934,1.2624640213815725,0.8962530838815777,-148.78947368421038,2404.842105263158,5142.894736842106,102.93553402549344,-0.8063386615953902,133.06669536389802,3.55,10.000000000000009,-0.08020550271739131,0.9188816236413043,0.3923233695652174,0.3900942595108674,-0.8571458899456542,0.6979237432065216,970.8695652173913,2695.217391304348,-3535.478260869565,67.3375934103261,4.0374755859375,2.2818125849184696,3.5556521739130433
1.0265,2009,2009,289435,18179.064453125,25685.833984375,1.309571289309473,15.527081724593783,12.499999999999956,-0.007943289620535691,0.9820643833705357,-0.17808314732142855,-2.127511160714288,-1.7242431640624982,-0.6158011300223227,-4215.964285714285,2595.375,-1183.5714285714284,100.51528930664062,1.51052202497209,-171.08636038643974,3.4855357142857146,5.50000000000006,0.0319053248355263,0.9740953947368421,-0.22039473684210528,-2.7626439144736836,1.223915501644735,0.8882221422697365,-147.86842105263153,2404.5263157894738,5144.184210526316,102.93379934210526,-0.8067723324424207,133.06727359169406,3.55,9.500000000000064,-0.08024796195652174,0.9191045346467391,0.39223845108695654,0.3675377887228265,-0.8783755095108692,0.6965968919836957,970.3260869565217,2694.9565217391305,-3534.304347826087,67.33747399371603,4.0374755859375,2.2825290845788118,3.555869565217391
