record_index,sequence,time_s,tick_ms,tick_elapsed_ms,device_id,accel_x_raw,accel_y_raw,accel_z_raw,accel_x_g,accel_y_g,accel_z_g,gyro_x_raw,gyro_y_raw,gyro_z_raw,gyro_x_dps,gyro_y_dps,gyro_z_dps,mag_x_raw,mag_y_raw,mag_z_raw,angle_x_raw,angle_y_raw,angle_z_raw,angle_x_deg,angle_y_deg,angle_z_deg,battery_raw,battery_voltage,sequence_gap_before
0,1011,0.0,3450,0,2,67,1915,725,0.03271484375,0.93505859375,0.35400390625,-4,-5,10,-0.244140625,-0.30517578125,0.6103515625,1681,2117,-4034,12516,-329,3750,68.75244140625,-1.8072509765625,20.599365234375,357,3.57,0
1,1012,0.0,3450,0,0,-48,2012,-349,-0.0234375,0.982421875,-0.17041015625,-4,-7,9,-0.244140625,-0.42724609375,0.54931640625,-5430,808,-2171,17971,358,-12733,98.7176513671875,1.966552734375,-69.9444580078125,348,3.48,0
2,1013,0.002,3452,2,2,60,1913,730,0.029296875,0.93408203125,0.3564453125,-5,-7,6,-0.30517578125,-0.42724609375,0.3662109375,1722,2168,-4088,12516,-329,3750,68.75244140625,-1.8072509765625,20.599365234375,358,3.58,0
3,1014,0.005,3455,5,0,-52,2011,-356,-0.025390625,0.98193359375,-0.173828125,-4,-9,10,-0.244140625,-0.54931640625,0.6103515625,-5443,831,-2237,17972,357,-12732,98.72314453125,1.9610595703125,-69.93896484375,349,3.49,0
4,1015,0.006,3456,6,1,-51,1983,-482,-0.02490234375,0.96826171875,-0.2353515625,11,-5,8,0.67138671875,-0.30517578125,0.48828125,-1420,493,5966,18822,241,-30281,103.392333984375,1.3238525390625,-166.3385009765625,357,3.57,0
5,1016,0.007,3457,7,2,60,1912,730,0.029296875,0.93359375,0.3564453125,-4,-10,7,-0.244140625,-0.6103515625,0.42724609375,1705,2170,-4085,12516,-329,3750,68.75244140625,-1.8072509765625,20.599365234375,358,3.58,0
6,1017,0.012,3462,12,0,-50,2008,-360,-0.0244140625,0.98046875,-0.17578125,-4,-10,8,-0.244140625,-0.6103515625,0.48828125,-5430,829,-2219,17972,357,-12731,98.72314453125,1.9610595703125,-69.9334716796875,349,3.49,0
7,1018,0.013,3463,13,1,-53,1983,-480,-0.02587890625,0.96826171875,-0.234375,10,-5,4,0.6103515625,-0.30517578125,0.244140625,-1421,468,5930,18822,241,-30281,103.392333984375,1.3238525390625,-166.3385009765625,357,3.57,0
8,1019,0.014,3464,14,2,62,1911,729,0.0302734375,0.93310546875,0.35595703125,-4,-7,7,-0.244140625,-0.42724609375,0.42724609375,1713,2147,-4060,12516,-329,3749,68.75244140625,-1.8072509765625,20.5938720703125,358,3.58,0
9,1020,0.019,3469,19,0,-52,2010,-354,-0.025390625,0.9814453125,-0.1728515625,-7,-17,8,-0.42724609375,-1.03759765625,0.48828125,-5429,805,-2201,17973,356,-12731,98.7286376953125,1.95556640625,-69.9334716796875,349,3.49,0
10,1021,0.02,3470,20,1,-49,1980,-475,-0.02392578125,0.966796875,-0.23193359375,7,-2,0,0.42724609375,-0.1220703125,0.0,-1430,496,5923,18823,241,-30280,103.3978271484375,1.3238525390625,-166.3330078125,357,3.57,0
11,1022,0.021,3471,21,2,64,1912,727,0.03125,0.93359375,0.35498046875,-6,-5,6,-0.3662109375,-0.30517578125,0.3662109375,1680,2139,-4024,12515,-329,3749,68.7469482421875,-1.8072509765625,20.5938720703125,358,3.58,0
12,1023,0.026,3476,26,0,-47,2010,-357,-0.02294921875,0.9814453125,-0.17431640625,-8,-19,12,-0.48828125,-1.15966796875,0.732421875,-5408,798,-2180,17973,356,-12731,98.7286376953125,1.95556640625,-69.9334716796875,349,3.49,0
13,1024,0.027,3477,27,1,-49,1983,-473,-0.02392578125,0.96826171875,-0.23095703125,2,1,2,0.1220703125,0.06103515625,0.1220703125,-1430,509,5931,18823,241,-30280,103.3978271484375,1.3238525390625,-166.3330078125,357,3.57,0
14,1025,0.028,3478,28,2,64,1913,726,0.03125,0.93408203125,0.3544921875,-12,-3,6,-0.732421875,-0.18310546875,0.3662109375,1677,2136,-4058,12515,-329,3749,68.7469482421875,-1.8072509765625,20.5938720703125,358,3.58,0
15,1026,0.033,3483,33,0,-47,2010,-357,-0.02294921875,0.9814453125,-0.17431640625,-8,-19,12,-0.48828125,-1.15966796875,0.732421875,-5408,798,-2180,17973,356,-12731,98.7286376953125,1.95556640625,-69.9334716796875,349,3.49,0
16,1027,0.034,3484,34,1,-49,1978,-474,-0.02392578125,0.9658203125,-0.2314453125,2,3,2,0.1220703125,0.18310546875,0.1220703125,-1429,518,5944,18823,241,-30280,103.3978271484375,1.3238525390625,-166.3330078125,357,3.57,0
17,1028,0.035,3485,35,2,62,1914,726,0.0302734375,0.9345703125,0.3544921875,-13,-5,6,-0.79345703125,-0.30517578125,0.3662109375,1689,2159,-4055,12515,-329,3749,68.7469482421875,-1.8072509765625,20.5938720703125,358,3.58,0
18,1029,0.04,3490,40,0,-44,2013,-352,-0.021484375,0.98291015625,-0.171875,-6,-27,13,-0.3662109375,-1.64794921875,0.79345703125,-5433,803,-2166,17974,356,-12731,98.734130859375,1.95556640625,-69.9334716796875,349,3.49,0
19,1030,0.041,3491,41,1,-54,1975,-472,-0.0263671875,0.96435546875,-0.23046875,6,-4,0,0.3662109375,-0.244140625,0.0,-1409,504,5909,18823,241,-30280,103.3978271484375,1.3238525390625,-166.3330078125,357,3.57,0
20,1031,0.042,3492,42,2,60,1915,726,0.029296875,0.93505859375,0.3544921875,-10,-7,6,-0.6103515625,-0.42724609375,0.3662109375,1676,2152,-4008,12515,-329,3749,68.7469482421875,-1.8072509765625,20.5938720703125,358,3.58,0
21,1032,0.047,3497,47,0,-42,2013,-350,-0.0205078125,0.98291015625,-0.1708984375,-8,-31,15,-0.48828125,-1.89208984375,0.91552734375,-5440,786,-2176,17974,356,-12731,98.734130859375,1.95556640625,-69.9334716796875,349,3.49,0
22,1033,0.048,3498,48,1,-54,1974,-476,-0.0263671875,0.9638671875,-0.232421875,9,-8,0,0.54931640625,-0.48828125,0.0,-1410,500,5865,18823,241,-30280,103.3978271484375,1.3238525390625,-166.3330078125,357,3.57,0
23,1034,0.049,3499,49,2,58,1917,728,0.0283203125,0.93603515625,0.35546875,-9,-12,7,-0.54931640625,-0.732421875,0.42724609375,1682,2163,-4033,12515,-329,3748,68.7469482421875,-1.8072509765625,20.58837890625,358,3.58,0
24,1035,0.054,3504,54,0,-42,2011,-350,-0.0205078125,0.98193359375,-0.1708984375,-5,-37,16,-0.30517578125,-2.25830078125,0.9765625,-5438,770,-2161,17974,356,-12731,98.734130859375,1.95556640625,-69.9334716796875,349,3.49,0
25,1036,0.055,3505,55,1,-49,1976,-482,-0.02392578125,0.96484375,-0.2353515625,12,-20,0,0.732421875,-1.220703125,0.0,-1384,510,5799,18823,241,-30280,103.3978271484375,1.3238525390625,-166.3330078125,357,3.57,0
26,1037,0.056,3506,56,2,59,1917,727,0.02880859375,0.93603515625,0.35498046875,-8,-14,7,-0.48828125,-0.8544921875,0.42724609375,1701,2175,-4026,12515,-329,3748,68.7469482421875,-1.8072509765625,20.58837890625,358,3.58,0
27,1038,0.061,3511,61,0,-41,2010,-347,-0.02001953125,0.9814453125,-0.16943359375,-4,-38,17,-0.244140625,-2.3193359375,1.03759765625,-5412,768,-2159,17975,355,-12731,98.7396240234375,1.9500732421875,-69.9334716796875,349,3.49,0
28,1039,0.062,3512,62,1,-46,1972,-482,-0.0224609375,0.962890625,-0.2353515625,9,-23,0,0.54931640625,-1.40380859375,0.0,-1406,495,5793,18823,241,-30280,103.3978271484375,1.3238525390625,-166.3330078125,356,3.56,0
29,1040,0.074,3524,74,1,-43,1974,-484,-0.02099609375,0.9638671875,-0.236328125,10,-20,3,0.6103515625,-1.220703125,0.18310546875,-1417,483,5751,18823,241,-30280,103.3978271484375,1.3238525390625,-166.3330078125,356,3.56,0
30,1041,0.074,3524,74,2,68,1918,725,0.033203125,0.9365234375,0.35400390625,-12,-10,4,-0.732421875,-0.6103515625,0.244140625,1710,2146,-4046,12515,-328,3748,68.7469482421875,-1.8017578125,20.58837890625,357,3.57,0
31,1042,0.076,3526,76,1,-44,1975,-483,-0.021484375,0.96435546875,-0.23583984375,14,-18,2,0.8544921875,-1.0986328125,0.1220703125,-1445,475,5813,18823,241,-30280,103.3978271484375,1.3238525390625,-166.3330078125,356,3.56,0
32,1043,0.077,3527,77,2,71,1916,725,0.03466796875,0.935546875,0.35400390625,-13,-7,4,-0.79345703125,-0.42724609375,0.244140625,1702,2111,-4042,12515,-328,3748,68.7469482421875,-1.8017578125,20.58837890625,357,3.57,0
33,1044,0.082,3532,82,0,-39,2012,-354,-0.01904296875,0.982421875,-0.1728515625,-8,-32,12,-0.48828125,-1.953125,0.732421875,-5436,821,-2257,17975,354,-12731,98.7396240234375,1.944580078125,-69.9334716796875,349,3.49,0
34,1045,0.083,3533,83,1,-44,1979,-486,-0.021484375,0.96630859375,-0.2373046875,16,-20,3,0.9765625,-1.220703125,0.18310546875,-1444,486,5818,18823,241,-30280,103.3978271484375,1.3238525390625,-166.3330078125,356,3.56,0
35,1046,0.084,3534,84,2,74,1912,728,0.0361328125,0.93359375,0.35546875,-14,-8,3,-0.8544921875,-0.48828125,0.18310546875,1672,2096,-4103,12515,-328,3748,68.7469482421875,-1.8017578125,20.58837890625,357,3.57,0
36,1047,0.089,3539,89,0,-34,2009,-354,-0.0166015625,0.98095703125,-0.1728515625,-3,-19,15,-0.18310546875,-1.15966796875,0.91552734375,-5429,823,-2266,17975,355,-12731,98.7396240234375,1.9500732421875,-69.9334716796875,349,3.49,0
