record_index,sequence,time_s,tick_ms,tick_elapsed_ms,ch1_raw_uV,ch2_raw_uV,ch1_filtered_uV,ch2_filtered_uV,sequence_gap_before,byte_offset_adjustment,imputed_fields
2000,2000,1.0000000,252125,1000,18816.9805,25696.8906,2.2544329516,34.693408924,0,0,
2001,2001,1.0005000,252125,1000,18817.0996,25691.8418,2.44381831742,40.2472266437,0,0,
2002,2002,1.0010000,252126,1001,18816.8613,25688.4766,0.477844661775,47.6686405017,0,0,
2003,2003,1.0015000,252126,1001,18812.0527,25681.2656,-6.47031121954,52.5304228087,0,0,
2004,2004,1.0020000,252127,1002,18803.7578,25671.0469,-15.0952967378,54.4059829293,0,0,
2005,2005,1.0025000,252127,1002,18801.834,25660.7109,-13.0298970142,57.1359034342,0,0,
2006,2006,1.0030000,252128,1003,18824.793,25649.1699,11.4039574653,56.1347543427,0,0,
2007,2007,1.0035000,252128,1003,18844.9863,25640.3965,29.3837191349,57.5902941085,0,0,
2008,2008,1.0040000,252129,1004,18853.1621,25638.3516,32.9568114993,66.853089147,0,0,
2009,2009,1.0045000,252129,1004,18842.3438,25634.0254,19.8536890783,72.9568222797,0,0,
2010,2010,1.0050000,252130,1005,18833.4473,25636.7891,11.6286079881,80.3801612073,0,0,
2011,2011,1.0055000,252130,1005,18829.8418,25635.1074,9.62647395998,81.3494731413,0,0,
2012,2012,1.0060000,252131,1006,18829.9629,25628.6152,10.4095863596,78.8448746324,0,0,
2013,2013,1.0065000,252131,1006,18819.0234,25617.5566,-1.07261655603,74.1585392262,0,0,
2014,2014,1.0070000,252132,1007,18814.8164,25611.3066,-6.48850380816,73.4342127485,0,0,
2015,2015,1.0075000,252132,1007,18812.4121,25601.3301,-6.19901442621,69.5498678092,0,0,
2016,2016,1.0080000,252133,1008,18811.5723,25593.0371,-4.36697989614,67.0579152054,0,0,
2017,2017,1.0085000,252133,1008,18814.9375,25591.2324,1.03941616062,70.390230042,0,0,
2018,2018,1.0090000,252134,1009,18818.0625,25593.877,7.73656390491,75.8172329945,0,0,
2019,2019,1.0095000,252134,1009,18818.543,25591.2324,12.0039425369,73.4746181221,0,0,
2020,2020,1.0100000,252135,1010,18832.0059,25587.0254,25.2727343465,68.3235940048,0,0,
2021,2021,1.0105000,252135,1010,18850.3965,25582.5781,38.2913846423,63.124410534,0,0,
2022,2022,1.0110000,252136,1011,18875.3984,25574.8848,55.8857494097,56.6621223432,0,0,
2023,2023,1.0115000,252136,1011,18887.7793,25573.6816,57.2774559191,56.0731609788,0,0,
2024,2024,1.0120000,252137,1012,18874.7988,25574.2832,34.0848081475,56.4086979629,0,0,
2025,2025,1.0125000,252137,1012,18867.8262,25576.9297,18.8480074822,56.9479444074,0,0,
2026,2026,1.0130000,252138,1013,18872.3926,25574.0449,11.0570918778,50.0966944904,0,0,
2027,2027,1.0135000,252138,1013,18872.5137,25573.084,-0.328271139157,45.4282089881,0,0,
2028,2028,1.0140000,252139,1014,18866.2637,25571.6406,-8.87007714105,38.1581183507,0,0,
2029,2029,1.0145000,252139,1014,18864.0996,25575.2441,-10.4329226695,37.108654394,0,0,
2030,2030,1.0150000,252140,1015,18859.0508,25578.4922,-12.2975578569,35.7068593284,0,0,
2031,2031,1.0155000,252140,1015,18848.834,25575.6074,-16.7478881071,29.25863011,0,0,
2032,2032,1.0160000,252141,1016,18840.6602,25570.4375,-21.6466985638,19.8886600912,0,0,
2033,2033,1.0165000,252141,1016,18829.7207,25568.9941,-30.2140548554,12.7459280093,0,0,
2034,2034,1.0170000,252142,1017,18833.9277,25565.0293,-25.1403676691,4.47839467606,0,0,
2035,2035,1.0175000,252142,1017,18854.3633,25557.6953,-8.74523636906,-4.60626547086,0,0,
2036,2036,1.0180000,252143,1018,18864.9414,25557.5762,-6.54914407584,-5.27084891532,0,0,
2037,2037,1.0185000,252143,1018,18860.1328,25559.5,-16.5639500339,-5.60420166174,0,0,
2038,2038,1.0190000,252144,1019,18850.877,25559.6191,-24.3972959317,-7.03899046259,0,0,
2039,2039,1.0195000,252144,1019,18848.4746,25561.7832,-21.2621329897,-8.78050420203,0,0,
2040,2040,1.0200000,252145,1020,18851.5996,25561.1816,-11.4790790479,-14.2633264236,0,0,
2041,2041,1.0205000,252145,1020,18850.1562,25555.291,-10.7924323246,-24.2788765429,0,0,
2042,2042,1.0210000,252146,1021,18849.0742,25554.5703,-11.1668242401,-28.2179311821,0,0,
2043,2043,1.0215000,252146,1021,18845.3477,25559.3809,-14.0217685453,-25.5827999821,0,0,
2044,2044,1.0220000,252147,1022,18835.7324,25560.4609,-20.5495631816,-26.5281661343,0,0,
