record_index,sequence,time_s,tick_ms,tick_elapsed_ms,ch1_raw_uV,ch2_raw_uV,ch1_filtered_uV,ch2_filtered_uV,sequence_gap_before,byte_offset_adjustment,imputed_fields
2000,2000,1.0000000,159819,1000,19510.6699,26288.0469,-78.7104342149,-8.85907148707,0,0,
2001,2001,1.0005000,159819,1000,19517.4004,26287.8066,-77.4269633826,-8.06580804189,0,0,
2002,2002,1.0010000,159820,1001,19526.2949,26288.6484,-73.4836443446,-8.92679766707,0,0,
2003,2003,1.0015000,159820,1001,19532.0645,26291.4121,-70.5367582195,-6.08004335354,0,0,
2004,2004,1.0020000,159821,1002,19535.0703,26292.1328,-70.9084003439,-3.40887388853,0,0,
2005,2005,1.0025000,159821,1002,19530.502,26286.4844,-74.8432617396,-7.75219214023,0,0,
2006,2006,1.0030000,159822,1003,19530.623,26292.7344,-73.2375675336,-3.75557052821,0,0,
2007,2007,1.0035000,159822,1003,19539.1582,26303.6719,-62.4393616809,3.18602068011,0,0,
2008,2008,1.0040000,159823,1004,19546.3691,26310.1641,-52.5538631862,4.02339628397,0,0,
2009,2009,1.0045000,159823,1004,19558.9902,26310.2832,-39.2979820457,-0.739464136963,0,0,
2010,2010,1.0050000,159824,1005,19570.0488,26316.0547,-30.0082909951,-0.614921972542,0,0,
2011,2011,1.0055000,159824,1005,19575.6992,26324.9473,-27.6851340373,1.33747249654,0,0,
2012,2012,1.0060000,159825,1006,19585.1934,26330.7188,-20.2816324958,0.363505763543,0,0,
2013,2013,1.0065000,159825,1006,19597.0957,26331.3203,-12.194706335,-4.95951288087,0,0,
2014,2014,1.0070000,159826,1007,19604.5469,26323.8672,-6.6721969695,-14.7498224636,0,0,
2015,2015,1.0075000,159826,1007,19612.8418,26322.3047,-1.12769037034,-18.2294462978,0,0,
2016,2016,1.0080000,159827,1008,19617.6504,26316.8965,1.54838683246,-23.5717853011,0,0,
2017,2017,1.0085000,159827,1008,19625.582,26322.0645,8.69548623,-19.817474895,0,0,
2018,2018,1.0090000,159828,1009,19633.7559,26328.1953,13.1143114618,-16.0257002437,0,0,
2019,2019,1.0095000,159828,1009,19640.3672,26327.2324,16.6745949826,-20.9731807513,0,0,
2020,2020,1.0100000,159829,1010,19643.252,26331.3203,11.6359047067,-18.0669102771,0,0,
2021,2021,1.0105000,159829,1010,19650.2246,26332.4004,11.8082380447,-17.5307582321,0,0,
2022,2022,1.0110000,159830,1011,19658.3984,26336.7285,17.2338594841,-12.1701375688,0,0,
2023,2023,1.0115000,159830,1011,19662.123,26332.8828,19.3271286047,-16.5893885059,0,0,
2024,2024,1.0120000,159831,1012,19666.6914,26332.6406,23.3120579165,-15.8582185518,0,0,
2025,2025,1.0125000,159831,1012,19675.2266,26332.8828,32.3999601399,-13.1563731422,0,0,
2026,2026,1.0130000,159832,1013,19679.6738,26334.084,38.3008290791,-10.6093702225,0,0,
2027,2027,1.0135000,159832,1013,19685.084,26330.2363,43.4689614325,-12.5566459468,0,0,
2028,2028,1.0140000,159833,1014,19693.0156,26332.4004,51.590403287,-8.17939062163,0,0,
2029,2029,1.0145000,159833,1014,19699.2676,26335.8887,55.8558905475,-3.85250242795,0,0,
