record_index,sequence,time_s,tick_ms,tick_elapsed_ms,ch1_raw_uV,ch2_raw_uV,ch1_filtered_uV,ch2_filtered_uV,sequence_gap_before,byte_offset_adjustment,imputed_fields
2000,2000,1.0000000,68708,1000,9587.83203,19195.1387,1.49691544948,-10.2582536231,0,0,
2001,2001,1.0005000,68708,1000,9586.51074,19192.4941,-1.42868182358,-11.644135658,0,0,
2002,2002,1.0010000,68709,1001,9584.70703,19195.6191,-4.32727615211,-5.88637105648,0,0,
2003,2003,1.0015000,68709,1001,9582.30273,19200.0664,-6.3212439169,1.18946145272,0,0,
2004,2004,1.0020000,68710,1002,9579.53809,19204.873,-7.95779751666,6.87594900135,0,0,
2005,2005,1.0025000,68710,1002,9584.58691,19200.9082,-1.97536323343,4.12008114167,0,0,
2006,2006,1.0030000,68711,1003,9584.82715,19197.7832,-3.21537505792,0.676159877016,0,0,
2007,2007,1.0035000,68711,1003,9583.86621,19193.334,-4.21963955185,-3.57120737217,0,0,
2008,2008,1.0040000,68712,1004,9580.37988,19198.2637,-8.03649131932,0.64807365808,0,0,
2009,2009,1.0045000,68712,1004,9578.33691,19201.6289,-9.93518322022,4.33929412094,0,0,
2010,2010,1.0050000,68713,1005,9579.29785,19204.3926,-9.39893508126,6.85886381011,0,0,
2011,2011,1.0055000,68713,1005,9578.81738,19197.541,-8.18954602893,-0.917078234011,0,0,
2012,2012,1.0060000,68714,1006,9576.65332,19197.0605,-7.60324051175,-4.59386047864,0,0,
2013,2013,1.0065000,68714,1006,9576.05273,19194.1758,-7.19268702719,-8.3856579256,0,0,
2014,2014,1.0070000,68715,1007,9575.81152,19192.9746,-6.68473783541,-8.30161805434,0,0,
2015,2015,1.0075000,68715,1007,9576.5332,19189.0059,-5.00454683177,-10.143786074,0,0,
2016,2016,1.0080000,68716,1008,9578.33691,19183.8379,-4.42582035353,-13.1126670159,0,0,
2017,2017,1.0085000,68716,1008,9578.45605,19184.0801,-4.5524392675,-8.83999153436,0,0,
