record_index,sequence,time_s,tick_ms,tick_elapsed_ms,device_id,accel_x_raw,accel_y_raw,accel_z_raw,accel_x_g,accel_y_g,accel_z_g,gyro_x_raw,gyro_y_raw,gyro_z_raw,gyro_x_dps,gyro_y_dps,gyro_z_dps,mag_x_raw,mag_y_raw,mag_z_raw,angle_x_raw,angle_y_raw,angle_z_raw,angle_x_deg,angle_y_deg,angle_z_deg,battery_raw,battery_voltage,sequence_gap_before
0,25332,0.0,67706,0,0,-3,2000,-394,-0.00146484375,0.9765625,-0.1923828125,-6,7,6,-0.3662109375,0.42724609375,0.3662109375,2682,-4233,-5752,18030,636,4986,99.041748046875,3.49365234375,27.388916015625,349,3.49,0
1,25333,0.0,67706,0,1,29,1989,-442,0.01416015625,0.97119140625,-0.2158203125,5,-22,3,0.30517578125,-1.3427734375,0.18310546875,3498,-4701,-2178,18546,-174,2763,101.876220703125,-0.955810546875,15.1776123046875,355,3.55,0
2,25334,0.004,67710,4,0,-9,2006,-391,-0.00439453125,0.9794921875,-0.19091796875,2,-15,9,0.1220703125,-0.91552734375,0.54931640625,2625,-4242,-5791,18033,629,4982,99.0582275390625,3.4552001953125,27.366943359375,349,3.49,0
3,25335,0.005,67711,5,1,23,1993,-444,0.01123046875,0.97314453125,-0.216796875,12,-17,-1,0.732421875,-1.03759765625,-0.06103515625,3496,-4699,-2197,18547,-173,2764,101.8817138671875,-0.9503173828125,15.18310546875,355,3.55,0
4,25336,0.006,67712,6,2,52,1918,733,0.025390625,0.9365234375,0.35791015625,1,-8,14,0.06103515625,-0.48828125,0.8544921875,-2272,-1962,3842,12687,-279,-27285,69.6917724609375,-1.5325927734375,-149.8809814453125,357,3.57,0
5,25337,0.011,67717,11,0,-9,2011,-388,-0.00439453125,0.98193359375,-0.189453125,0,-20,11,0.0,-1.220703125,0.67138671875,2625,-4245,-5827,18033,629,4982,99.0582275390625,3.4552001953125,27.366943359375,349,3.49,0
6,25338,0.012,67718,12,1,25,1995,-444,0.01220703125,0.97412109375,-0.216796875,13,-16,1,0.79345703125,-0.9765625,0.06103515625,3484,-4718,-2187,18547,-173,2764,101.8817138671875,-0.9503173828125,15.18310546875,355,3.55,0
7,25339,0.013,67719,13,2,50,1921,732,0.0244140625,0.93798828125,0.357421875,-1,-12,14,-0.06103515625,-0.732421875,0.8544921875,-2288,-1986,3832,12687,-279,-27286,69.6917724609375,-1.5325927734375,-149.886474609375,357,3.57,0
8,25340,0.018,67724,18,0,-16,2011,-383,-0.0078125,0.98193359375,-0.18701171875,2,-24,12,0.1220703125,-1.46484375,0.732421875,2661,-4237,-5824,18033,629,4979,99.0582275390625,3.4552001953125,27.3504638671875,349,3.49,0
9,25341,0.019,67725,19,1,23,1993,-439,0.01123046875,0.97314453125,-0.21435546875,-2,-9,-1,-0.1220703125,-0.54931640625,-0.06103515625,3476,-4719,-2195,18547,-173,2764,101.8817138671875,-0.9503173828125,15.18310546875,356,3.56,0
