record_index,sequence,time_s,tick_ms,tick_elapsed_ms,device_id,accel_x_raw,accel_y_raw,accel_z_raw,accel_x_g,accel_y_g,accel_z_g,gyro_x_raw,gyro_y_raw,gyro_z_raw,gyro_x_dps,gyro_y_dps,gyro_z_dps,mag_x_raw,mag_y_raw,mag_z_raw,angle_x_raw,angle_y_raw,angle_z_raw,angle_x_deg,angle_y_deg,angle_z_deg,battery_raw,battery_voltage,sequence_gap_before
0,104520,0.0,288428,0,1,47,1984,-485,0.02294921875,0.96875,-0.23681640625,10,-3,2,0.6103515625,-0.18310546875,0.1220703125,-161,2442,5200,18762,-102,24204,103.062744140625,-0.560302734375,132.95654296875,357,3.57,0
1,104521,0.0,288428,0,2,-150,1898,781,-0.0732421875,0.9267578125,0.38134765625,-8,5,14,-0.48828125,0.30517578125,0.8544921875,970,2647,-3520,12300,745,67,67.56591796875,4.0924072265625,0.3680419921875,356,3.56,0
2,104522,0.002,288430,2,2,-152,1898,785,-0.07421875,0.9267578125,0.38330078125,-5,3,18,-0.30517578125,0.18310546875,1.0986328125,934,2633,-3535,12298,745,75,67.554931640625,4.0924072265625,0.4119873046875,355,3.55,0
3,104523,0.004,288432,4,0,-29,2010,-370,-0.01416015625,0.9814453125,-0.1806640625,-4,-16,2,-0.244140625,-0.9765625,0.1220703125,-4257,2629,-1364,18372,283,-31111,100.92041015625,1.5545654296875,-170.8978271484375,349,3.49,0
4,104524,0.005,288433,5,1,30,1989,-458,0.0146484375,0.97119140625,-0.2236328125,-5,-9,-4,-0.30517578125,-0.54931640625,-0.244140625,-265,2439,5295,18763,-104,24205,103.0682373046875,-0.5712890625,132.9620361328125,357,3.57,0
5,104525,0.006,288434,6,2,-152,1897,785,-0.07421875,0.92626953125,0.38330078125,-4,1,18,-0.244140625,0.06103515625,1.0986328125,935,2631,-3545,12298,745,82,67.554931640625,4.0924072265625,0.450439453125,355,3.55,0
6,104526,0.011,288439,11,0,-28,2006,-366,-0.013671875,0.9794921875,-0.1787109375,-12,-20,2,-0.732421875,-1.220703125,0.1220703125,-4269,2595,-1348,18372,283,-31111,100.92041015625,1.5545654296875,-170.8978271484375,349,3.49,0
7,104527,0.012,288440,12,1,32,1983,-460,0.015625,0.96826171875,-0.224609375,-8,-10,-2,-0.48828125,-0.6103515625,-0.1220703125,-235,2456,5294,18763,-104,24205,103.0682373046875,-0.5712890625,132.9620361328125,357,3.57,0
8,104528,0.013,288441,13,2,-152,1891,783,-0.07421875,0.92333984375,0.38232421875,-2,0,15,-0.1220703125,0.0,0.91552734375,951,2644,-3528,12297,745,82,67.5494384765625,4.0924072265625,0.450439453125,355,3.55,0
9,104529,0.018,288446,18,0,-27,2005,-368,-0.01318359375,0.97900390625,-0.1796875,-15,-20,5,-0.91552734375,-1.220703125,0.30517578125,-4286,2615,-1383,18371,282,-31110,100.9149169921875,1.549072265625,-170.892333984375,349,3.49,0
