record_index,sequence,time_s,tick_ms,tick_elapsed_ms,device_id,accel_x_raw,accel_y_raw,accel_z_raw,accel_x_g,accel_y_g,accel_z_g,gyro_x_raw,gyro_y_raw,gyro_z_raw,gyro_x_dps,gyro_y_dps,gyro_z_dps,mag_x_raw,mag_y_raw,mag_z_raw,angle_x_raw,angle_y_raw,angle_z_raw,angle_x_deg,angle_y_deg,angle_z_deg,battery_raw,battery_voltage,sequence_gap_before
0,91253,0.0,251123,0,1,-25,1993,-415,-0.01220703125,0.97314453125,-0.20263671875,-8,12,-5,-0.48828125,0.732421875,-0.30517578125,391,-1945,4789,18653,200,31861,102.4639892578125,1.0986328125,175.0177001953125,354,3.54,0
1,91254,0.0,251123,0,2,-100,1904,730,-0.048828125,0.9296875,0.3564453125,-15,-15,6,-0.91552734375,-0.91552734375,0.3662109375,277,-1116,-4026,12389,557,654,68.0548095703125,3.0596923828125,3.592529296875,356,3.56,0
2,91255,0.001,251124,1,2,-105,1918,724,-0.05126953125,0.9365234375,0.353515625,-10,-10,5,-0.6103515625,-0.6103515625,0.30517578125,316,-1079,-4004,12389,557,650,68.0548095703125,3.0596923828125,3.570556640625,357,3.57,0
3,91256,0.004,251127,4,0,-48,2013,-389,-0.0234375,0.98291015625,-0.18994140625,-7,-32,1,-0.42724609375,-1.953125,0.06103515625,-2641,-2266,-1689,18254,234,-9502,100.272216796875,1.285400390625,-52.196044921875,349,3.49,0
4,91257,0.006,251129,6,1,-35,2006,-420,-0.01708984375,0.9794921875,-0.205078125,6,-10,7,0.3662109375,-0.6103515625,0.42724609375,420,-1964,4818,18653,200,31863,102.4639892578125,1.0986328125,175.0286865234375,354,3.54,0
5,91258,0.007,251130,7,2,-105,1918,727,-0.05126953125,0.9365234375,0.35498046875,-6,-11,6,-0.3662109375,-0.67138671875,0.3662109375,304,-1085,-4005,12389,557,650,68.0548095703125,3.0596923828125,3.570556640625,357,3.57,0
6,91259,0.012,251135,12,0,-44,2014,-377,-0.021484375,0.9833984375,-0.18408203125,-8,-34,0,-0.48828125,-2.0751953125,0.0,-2663,-2269,-1671,18254,234,-9502,100.272216796875,1.285400390625,-52.196044921875,349,3.49,0
7,91260,0.012,251135,12,1,-41,2005,-423,-0.02001953125,0.97900390625,-0.20654296875,0,-14,8,0.0,-0.8544921875,0.48828125,466,-1963,4856,18653,200,31862,102.4639892578125,1.0986328125,175.023193359375,354,3.54,0
8,91261,0.013,251136,13,2,-104,1919,729,-0.05078125,0.93701171875,0.35595703125,1,-12,6,0.06103515625,-0.732421875,0.3662109375,306,-1088,-4039,12389,557,649,68.0548095703125,3.0596923828125,3.5650634765625,357,3.57,0
9,91262,0.018,251141,18,0,-37,2008,-372,-0.01806640625,0.98046875,-0.181640625,-6,-38,1,-0.3662109375,-2.3193359375,0.06103515625,-2669,-2300,-1720,18254,234,-9502,100.272216796875,1.285400390625,-52.196044921875,350,3.5,0
10,91263,0.019,251142,19,1,-43,2002,-427,-0.02099609375,0.9775390625,-0.20849609375,-2,-17,7,-0.1220703125,-1.03759765625,0.42724609375,484,-1951,4839,18652,200,31861,102.45849609375,1.0986328125,175.0177001953125,355,3.55,0
11,91264,0.02,251143,20,2,-102,1921,729,-0.0498046875,0.93798828125,0.35595703125,4,-13,6,0.244140625,-0.79345703125,0.3662109375,306,-1125,-4045,12390,557,648,68.060302734375,3.0596923828125,3.5595703125,357,3.57,0
12,91265,0.026,251149,26,0,-31,2010,-367,-0.01513671875,0.9814453125,-0.17919921875,-7,-41,3,-0.42724609375,-2.50244140625,0.18310546875,-2672,-2290,-1725,18254,234,-9501,100.272216796875,1.285400390625,-52.1905517578125,350,3.5,0
13,91266,0.026,251149,26,1,-44,1989,-425,-0.021484375,0.97119140625,-0.20751953125,-5,-24,7,-0.30517578125,-1.46484375,0.42724609375,489,-1943,4859,18651,199,31859,102.4530029296875,1.0931396484375,175.0067138671875,355,3.55,0
14,91267,0.028,251151,28,2,-100,1922,727,-0.048828125,0.9384765625,0.35498046875,0,-12,6,0.0,-0.732421875,0.3662109375,308,-1112,-4027,12390,557,647,68.060302734375,3.0596923828125,3.5540771484375,357,3.57,0
15,91268,0.032,251155,32,0,-31,2010,-367,-0.01513671875,0.9814453125,-0.17919921875,-7,-41,3,-0.42724609375,-2.50244140625,0.18310546875,-2672,-2290,-1725,18254,234,-9501,100.272216796875,1.285400390625,-52.1905517578125,350,3.5,0
16,91269,0.033,251156,33,1,-43,1991,-424,-0.02099609375,0.97216796875,-0.20703125,-1,-23,10,-0.06103515625,-1.40380859375,0.6103515625,470,-1935,4837,18651,199,31858,102.4530029296875,1.0931396484375,175.001220703125,355,3.55,0
17,91270,0.034,251157,34,2,-96,1923,727,-0.046875,0.93896484375,0.35498046875,-6,-11,9,-0.3662109375,-0.67138671875,0.54931640625,308,-1076,-4035,12390,557,646,68.060302734375,3.0596923828125,3.548583984375,357,3.57,0
