record_index,sequence,time_s,tick_ms,tick_elapsed_ms,ch1_raw_uV,ch2_raw_uV,ch1_filtered_uV,ch2_filtered_uV,sequence_gap_before,byte_offset_adjustment,imputed_fields
2000,2000,1.0000000,4452,1000,9987.38574,19233.6035,-24.6375893291,-2.27488972951,0,0,
2001,2001,1.0005000,4453,1001,9985.3418,19221.4629,-24.6298409083,-15.8204080528,0,0,
2002,2002,1.0010000,4453,1001,9989.06836,19201.3887,-20.051172527,-33.4513361844,0,0,
2003,2003,1.0015000,4454,1002,9991.35254,19181.916,-16.8937894403,-45.0962353333,0,0,
2004,2004,1.0020000,4454,1002,9996.04004,19172.5391,-11.8267426663,-45.5139444119,0,0,
2005,2005,1.0025000,4455,1003,9999.7666,19173.2598,-9.45199121897,-39.1037524158,0,0,
2006,2006,1.0030000,4455,1003,9995.07812,19188.0449,-15.0859100508,-20.9864461862,0,0,
2007,2007,1.0035000,4456,1004,9990.51074,19203.3105,-19.1869626579,-6.79605356366,0,0,
2008,2008,1.0040000,4456,1004,9987.98633,19203.9121,-21.5485035553,-5.33019736899,0,0,
2009,2009,1.0045000,4457,1005,9984.98145,19199.1035,-23.8133296297,-12.2221185882,0,0,
2010,2010,1.0050000,4457,1005,9981.49512,19189.4883,-24.1057315929,-19.6534070319,0,0,
2011,2011,1.0055000,4458,1006,9986.42383,19180.7129,-19.2029312504,-27.2038384625,0,0,
2012,2012,1.0060000,4458,1006,9986.90527,19172.7793,-17.2392509547,-28.1516335334,0,0,
2013,2013,1.0065000,4459,1007,9989.18848,19174.1016,-14.2320313579,-22.4120568852,0,0,
2014,2014,1.0070000,4459,1007,9995.31934,19171.5781,-7.72113774869,-21.5719810734,0,0,
2015,2015,1.0075000,4460,1008,9998.9248,19166.2891,-4.00806688261,-23.2520337277,0,0,
2016,2016,1.0080000,4460,1008,9997.12207,19169.0527,-6.45528810176,-17.1678166194,0,0,
2017,2017,1.0085000,4461,1009,9990.87109,19174.4629,-11.3760187485,-9.53772238989,0,0,
2018,2018,1.0090000,4461,1009,9992.07324,19185.4004,-8.36544452631,2.84732969334,0,0,
2019,2019,1.0095000,4462,1010,9994.35742,19192.8535,-7.26390810332,11.8604111099,0,0,
2020,2020,1.0100000,4462,1010,9992.55371,19192.373,-6.6263122724,11.1310344532,0,0,
2021,2021,1.0105000,4463,1011,9995.43848,19190.209,-3.16122744822,8.68302816625,0,0,
