record_index,sequence,time_s,tick_ms,tick_elapsed_ms,device_id,accel_x_raw,accel_y_raw,accel_z_raw,accel_x_g,accel_y_g,accel_z_g,gyro_x_raw,gyro_y_raw,gyro_z_raw,gyro_x_dps,gyro_y_dps,gyro_z_dps,mag_x_raw,mag_y_raw,mag_z_raw,angle_x_raw,angle_y_raw,angle_z_raw,angle_x_deg,angle_y_deg,angle_z_deg,battery_raw,battery_voltage,sequence_gap_before
0,31427,0.0,89903,0,0,-4,2066,-229,-0.001953125,1.0087890625,-0.11181640625,29,-168,-8,1.77001953125,-10.25390625,-0.48828125,-5236,1465,-2001,17974,281,-12800,98.734130859375,1.5435791015625,-70.3125,351,3.51,0
1,31428,0.0,89903,0,1,-73,2010,-386,-0.03564453125,0.9814453125,-0.1884765625,4,-41,-19,0.244140625,-2.50244140625,-1.15966796875,-1133,934,5731,18485,351,-30897,101.5411376953125,1.9281005859375,-169.7222900390625,356,3.56,0
2,31429,0.01,89913,10,1,-71,1980,-415,-0.03466796875,0.966796875,-0.20263671875,27,5,-10,1.64794921875,0.30517578125,-0.6103515625,-1151,918,5861,18458,334,-30950,101.392822265625,1.834716796875,-170.013427734375,356,3.56,0
3,31430,0.01,89913,10,0,-18,1990,-365,-0.0087890625,0.9716796875,-0.17822265625,19,-80,4,1.15966796875,-4.8828125,0.244140625,-5201,1413,-2099,17988,313,-12782,98.81103515625,1.7193603515625,-70.213623046875,351,3.51,0
4,31431,0.011,89914,11,1,-76,1980,-415,-0.037109375,0.966796875,-0.20263671875,33,2,-10,2.01416015625,0.1220703125,-0.6103515625,-1163,895,5836,18460,334,-30950,101.40380859375,1.834716796875,-170.013427734375,356,3.56,0
5,31432,0.017,89920,17,0,-13,1991,-359,-0.00634765625,0.97216796875,-0.17529296875,26,-78,4,1.5869140625,-4.7607421875,0.244140625,-5212,1423,-2084,17989,314,-12786,98.8165283203125,1.724853515625,-70.235595703125,351,3.51,0
6,31433,0.018,89921,18,1,-76,1985,-417,-0.037109375,0.96923828125,-0.20361328125,34,3,-11,2.0751953125,0.18310546875,-0.67138671875,-1155,889,5837,18462,335,-30949,101.414794921875,1.8402099609375,-170.0079345703125,356,3.56,0
7,31434,0.019,89922,19,2,-16,1931,677,-0.0078125,0.94287109375,0.33056640625,-23,4,5,-1.40380859375,0.244140625,0.30517578125,1447,2064,-3837,12592,144,3297,69.169921875,0.791015625,18.1109619140625,355,3.55,0
8,31435,0.024,89927,24,0,-5,1991,-355,-0.00244140625,0.97216796875,-0.17333984375,30,-72,9,1.8310546875,-4.39453125,0.54931640625,-5213,1407,-2068,17992,314,-12789,98.8330078125,1.724853515625,-70.2520751953125,351,3.51,0
9,31436,0.025,89928,25,1,-75,1994,-418,-0.03662109375,0.9736328125,-0.2041015625,36,0,-14,2.197265625,0.0,-0.8544921875,-1108,895,5848,18465,337,-30948,101.4312744140625,1.8511962890625,-170.00244140625,356,3.56,0
10,31437,0.026,89929,26,2,-17,1931,680,-0.00830078125,0.94287109375,0.33203125,-25,5,4,-1.52587890625,0.30517578125,0.244140625,1439,2072,-3844,12592,144,3297,69.169921875,0.791015625,18.1109619140625,355,3.55,0
11,31438,0.031,89934,31,0,4,2002,-348,0.001953125,0.9775390625,-0.169921875,45,-51,17,2.74658203125,-3.11279296875,1.03759765625,-5191,1388,-2087,17997,314,-12793,98.8604736328125,1.724853515625,-70.2740478515625,351,3.51,0
12,31439,0.032,89935,32,1,-77,1991,-414,-0.03759765625,0.97216796875,-0.2021484375,32,4,-13,1.953125,0.244140625,-0.79345703125,-1120,892,5854,18467,337,-30947,101.4422607421875,1.8511962890625,-169.9969482421875,356,3.56,0
13,31440,0.033,89936,33,2,-19,1933,683,-0.00927734375,0.94384765625,0.33349609375,-37,2,3,-2.25830078125,0.1220703125,0.18310546875,1409,2066,-3885,12592,144,3298,69.169921875,0.791015625,18.116455078125,355,3.55,0
14,31441,0.038,89941,38,0,4,2009,-337,0.001953125,0.98095703125,-0.16455078125,50,-40,17,3.0517578125,-2.44140625,1.03759765625,-5190,1390,-2102,18000,314,-12795,98.876953125,1.724853515625,-70.2850341796875,351,3.51,0
15,31442,0.039,89942,39,1,-81,1991,-410,-0.03955078125,0.97216796875,-0.2001953125,34,5,-12,2.0751953125,0.30517578125,-0.732421875,-1130,915,5837,18470,339,-30946,101.458740234375,1.8621826171875,-169.991455078125,356,3.56,0
16,31443,0.04,89943,40,2,-20,1935,684,-0.009765625,0.94482421875,0.333984375,-41,1,3,-2.50244140625,0.06103515625,0.18310546875,1409,2086,-3935,12593,144,3298,69.1754150390625,0.791015625,18.116455078125,355,3.55,0
17,31444,0.045,89948,45,0,4,2009,-337,0.001953125,0.98095703125,-0.16455078125,50,-40,17,3.0517578125,-2.44140625,1.03759765625,-5190,1390,-2102,18000,314,-12795,98.876953125,1.724853515625,-70.2850341796875,351,3.51,0
18,31445,0.046,89949,46,1,-80,1991,-405,-0.0390625,0.97216796875,-0.19775390625,34,5,-13,2.0751953125,0.30517578125,-0.79345703125,-1094,951,5843,18472,339,-30945,101.4697265625,1.8621826171875,-169.9859619140625,356,3.56,0
19,31446,0.047,89950,47,2,-18,1936,683,-0.0087890625,0.9453125,0.33349609375,-46,1,5,-2.8076171875,0.06103515625,0.30517578125,1409,2044,-3949,12593,144,3297,69.1754150390625,0.791015625,18.1109619140625,355,3.55,0
20,31447,0.052,89955,52,0,-1,2024,-318,-0.00048828125,0.98828125,-0.1552734375,40,-13,24,2.44140625,-0.79345703125,1.46484375,-5227,1404,-2034,18008,311,-12796,98.9208984375,1.7083740234375,-70.29052734375,351,3.51,0
21,31448,0.053,89956,53,1,-84,1992,-407,-0.041015625,0.97265625,-0.19873046875,38,3,-13,2.3193359375,0.18310546875,-0.79345703125,-1107,943,5859,18474,340,-30944,101.480712890625,1.86767578125,-169.98046875,356,3.56,0
22,31449,0.054,89957,54,2,-16,1936,684,-0.0078125,0.9453125,0.333984375,-46,4,5,-2.8076171875,0.244140625,0.30517578125,1409,2035,-3970,12593,144,3297,69.1754150390625,0.791015625,18.1109619140625,355,3.55,0
