source_file,file_bytes,header_magic,format_version,adc_channels,adc_rate_hz,imu_count_in_header,adc_record_count,imu_record_count,total_record_count,first_sample_seq,last_sample_seq_in_file_order,duration_s_from_sequence,adc_sequence_discontinuities,adc_missing_forward_samples,adc_backward_steps,imu_file_order_discontinuities,imu_backward_steps_per_device,imu_device_ids,imu_records_by_device,trailing_bytes,unknown_record_tags,validation_status,warnings
LOG0002.BIN,430301,EMGL,1,16,2000,4,9849,2058,11907,2345558,2355406,4.924,0,0,0,1913,0,0;1;2,0:686;1:686;2:686,0,0,PASS,
LOG0006.BIN,184756,EMGL,1,16,2000,4,4228,884,5112,195480,199707,2.1135,0,0,0,832,0,0;1;2,0:295;1:295;2:294,0,0,PASS,
