record_index,byte_offset,sample_seq,time_s,adc_raw_ch01,adc_raw_ch02,adc_raw_ch03,adc_raw_ch04,adc_raw_ch05,adc_raw_ch06,adc_raw_ch07,adc_raw_ch08,adc_raw_ch09,adc_raw_ch10,adc_raw_ch11,adc_raw_ch12,adc_raw_ch13,adc_raw_ch14,adc_raw_ch15,adc_raw_ch16,adc_volts_ch01,adc_volts_ch02,adc_volts_ch03,adc_volts_ch04,adc_volts_ch05,adc_volts_ch06,adc_volts_ch07,adc_volts_ch08,adc_volts_ch09,adc_volts_ch10,adc_volts_ch11,adc_volts_ch12,adc_volts_ch13,adc_volts_ch14,adc_volts_ch15,adc_volts_ch16
0,32,2345558,0.0,22996,22972,22956,22976,22940,23004,22982,22936,22860,22852,22884,22782,22776,22752,22824,22868,3.5089111328125,3.5052490234375,3.5028076171875,3.505859375,3.5003662109375,3.5101318359375,3.50677490234375,3.499755859375,3.4881591796875,3.4869384765625,3.4918212890625,3.47625732421875,3.475341796875,3.4716796875,3.482666015625,3.4893798828125
1,69,2345559,0.0005,22686,22658,22640,22660,22618,22692,22666,22622,22538,22522,22548,22476,22454,22430,22508,22550,3.46160888671875,3.45733642578125,3.45458984375,3.4576416015625,3.45123291015625,3.4625244140625,3.45855712890625,3.45184326171875,3.43902587890625,3.43658447265625,3.4405517578125,3.4295654296875,3.42620849609375,3.42254638671875,3.4344482421875,3.44085693359375
2,106,2345560,0.001,22634,22624,22600,22620,22592,22666,22622,22592,22500,22504,22520,22436,22432,22390,22464,22514,3.45367431640625,3.4521484375,3.448486328125,3.4515380859375,3.447265625,3.45855712890625,3.45184326171875,3.447265625,3.4332275390625,3.433837890625,3.436279296875,3.4234619140625,3.4228515625,3.41644287109375,3.427734375,3.43536376953125
3,143,2345561,0.0015,22684,22654,22646,22668,22632,22700,22670,22626,22536,22518,22550,22462,22460,22422,22502,22554,3.4613037109375,3.45672607421875,3.45550537109375,3.4588623046875,3.453369140625,3.4637451171875,3.45916748046875,3.45245361328125,3.438720703125,3.43597412109375,3.44085693359375,3.42742919921875,3.4271240234375,3.42132568359375,3.43353271484375,3.44146728515625
4,180,2345562,0.002,22730,22716,22692,22722,22678,22750,22706,22680,22600,22584,22612,22520,22522,22484,22540,22618,3.46832275390625,3.4661865234375,3.4625244140625,3.46710205078125,3.46038818359375,3.47137451171875,3.46466064453125,3.460693359375,3.448486328125,3.446044921875,3.4503173828125,3.436279296875,3.43658447265625,3.4307861328125,3.4393310546875,3.45123291015625
5,217,2345563,0.0025,22838,22826,22798,22810,22788,22864,22824,22776,22692,22682,22698,22596,22608,22568,22650,22702,3.48480224609375,3.48297119140625,3.47869873046875,3.48052978515625,3.4771728515625,3.48876953125,3.482666015625,3.475341796875,3.4625244140625,3.46099853515625,3.46343994140625,3.4478759765625,3.44970703125,3.443603515625,3.45611572265625,3.46405029296875
6,254,2345564,0.003,22872,22854,22828,22856,22816,22880,22844,22816,22748,22722,22748,22654,22652,22618,22698,22748,3.489990234375,3.48724365234375,3.4832763671875,3.487548828125,3.4814453125,3.4912109375,3.4857177734375,3.4814453125,3.4710693359375,3.46710205078125,3.4710693359375,3.45672607421875,3.4564208984375,3.45123291015625,3.46343994140625,3.4710693359375
7,291,2345565,0.0035,22942,22932,22908,22932,22906,22976,22942,22894,22812,22788,22830,22742,22730,22700,22766,22810,3.50067138671875,3.4991455078125,3.4954833984375,3.4991455078125,3.49517822265625,3.505859375,3.50067138671875,3.49334716796875,3.4808349609375,3.4771728515625,3.48358154296875,3.47015380859375,3.46832275390625,3.4637451171875,3.47381591796875,3.48052978515625
8,328,2345566,0.004,22882,22864,22844,22872,22836,22910,22872,22826,22734,22720,22758,22650,22652,22634,22702,22742,3.49151611328125,3.48876953125,3.4857177734375,3.489990234375,3.4844970703125,3.49578857421875,3.489990234375,3.48297119140625,3.46893310546875,3.466796875,3.47259521484375,3.45611572265625,3.4564208984375,3.45367431640625,3.46405029296875,3.47015380859375
9,365,2345567,0.0045,22920,22902,22884,22908,22874,22942,22894,22862,22764,22778,22802,22714,22702,22652,22728,22786,3.497314453125,3.49456787109375,3.4918212890625,3.4954833984375,3.49029541015625,3.50067138671875,3.49334716796875,3.48846435546875,3.4735107421875,3.47564697265625,3.47930908203125,3.46588134765625,3.46405029296875,3.4564208984375,3.468017578125,3.47686767578125
