record_index,byte_offset,sample_seq,time_s,device_id,accel_x_raw,accel_x_g,accel_y_raw,accel_y_g,accel_z_raw,accel_z_g,gyro_x_raw,gyro_x_dps,gyro_y_raw,gyro_y_dps,gyro_z_raw,gyro_z_dps,mag_x_raw,mag_y_raw,mag_z_raw,angle_x_raw,angle_x_deg,angle_y_raw,angle_y_deg,angle_z_raw,angle_z_deg,battery_raw,battery_voltage
147,5371,2345684,0.063,0,2,0.0009765625,-20,-0.009765625,2097,1.02392578125,-6,-0.3662109375,-16,-0.9765625,6,0.3662109375,-8295,-3921,159,-190,-1.043701171875,6,0.032958984375,-20934,-114.993896484375,403,4.03
150,5477,2345686,0.064,1,-8,-0.00390625,-16,-0.0078125,2055,1.00341796875,-1,-0.06103515625,-14,-0.8544921875,1,0.06103515625,-1400,-5280,-4188,-671,-3.6859130859375,-833,-4.5758056640625,-6621,-36.3702392578125,406,4.06
153,5583,2345688,0.065,2,6,0.0029296875,-20,-0.009765625,2077,1.01416015625,-3,-0.18310546875,-4,-0.244140625,10,0.6103515625,-2938,4994,13328,-237,-1.3018798828125,-17,-0.0933837890625,25256,138.7353515625,409,4.09
164,5985,2345698,0.07,0,1,0.00048828125,-19,-0.00927734375,2104,1.02734375,-6,-0.3662109375,-13,-0.79345703125,4,0.244140625,-8287,-3933,143,-190,-1.043701171875,6,0.032958984375,-20934,-114.993896484375,403,4.03
167,6091,2345700,0.071,1,-9,-0.00439453125,-18,-0.0087890625,2059,1.00537109375,-1,-0.06103515625,-13,-0.79345703125,-1,-0.06103515625,-1389,-5288,-4147,-668,-3.66943359375,-828,-4.54833984375,-6621,-36.3702392578125,406,4.06
174,6345,2345706,0.074,2,5,0.00244140625,-20,-0.009765625,2076,1.013671875,-3,-0.18310546875,-5,-0.30517578125,10,0.6103515625,-2929,4981,13362,-237,-1.3018798828125,-17,-0.0933837890625,25256,138.7353515625,409,4.09
181,6599,2345712,0.077,0,0,0.0,-19,-0.00927734375,2095,1.02294921875,-4,-0.244140625,-16,-0.9765625,5,0.30517578125,-8290,-3945,161,-190,-1.043701171875,6,0.032958984375,-20934,-114.993896484375,403,4.03
188,6853,2345718,0.08,1,-8,-0.00390625,-16,-0.0078125,2057,1.00439453125,-2,-0.1220703125,-15,-0.91552734375,-2,-0.1220703125,-1384,-5323,-4122,-668,-3.66943359375,-828,-4.54833984375,-6621,-36.3702392578125,407,4.07
189,6885,2345718,0.08,2,5,0.00244140625,-20,-0.009765625,2076,1.013671875,-2,-0.1220703125,-4,-0.244140625,9,0.54931640625,-2903,4961,13353,-237,-1.3018798828125,-17,-0.0933837890625,25256,138.7353515625,409,4.09
202,7361,2345730,0.086,0,0,0.0,-19,-0.00927734375,2095,1.02294921875,-4,-0.244140625,-16,-0.9765625,5,0.30517578125,-8290,-3945,161,-190,-1.043701171875,6,0.032958984375,-20934,-114.993896484375,403,4.03
