record_index,byte_offset,sample_seq,time_s,adc_raw_ch01,adc_raw_ch02,adc_raw_ch03,adc_raw_ch04,adc_raw_ch05,adc_raw_ch06,adc_raw_ch07,adc_raw_ch08,adc_raw_ch09,adc_raw_ch10,adc_raw_ch11,adc_raw_ch12,adc_raw_ch13,adc_raw_ch14,adc_raw_ch15,adc_raw_ch16,adc_volts_ch01,adc_volts_ch02,adc_volts_ch03,adc_volts_ch04,adc_volts_ch05,adc_volts_ch06,adc_volts_ch07,adc_volts_ch08,adc_volts_ch09,adc_volts_ch10,adc_volts_ch11,adc_volts_ch12,adc_volts_ch13,adc_volts_ch14,adc_volts_ch15,adc_volts_ch16
32,1211,195511,0.0155,22938,22924,22908,22922,22886,22966,22934,22894,22790,22780,22808,22716,22714,22680,22754,22810,3.50006103515625,3.4979248046875,3.4954833984375,3.49761962890625,3.49212646484375,3.50433349609375,3.49945068359375,3.49334716796875,3.47747802734375,3.4759521484375,3.480224609375,3.4661865234375,3.46588134765625,3.460693359375,3.47198486328125,3.48052978515625
33,1248,195512,0.016,22976,22950,22920,22952,22922,22990,22944,22918,22820,22814,22840,22754,22742,22704,22786,22836,3.505859375,3.50189208984375,3.497314453125,3.502197265625,3.49761962890625,3.50799560546875,3.5009765625,3.49700927734375,3.4820556640625,3.48114013671875,3.485107421875,3.47198486328125,3.47015380859375,3.46435546875,3.47686767578125,3.4844970703125
34,1285,195513,0.0165,23012,22976,22966,22988,22944,23016,22988,22952,22860,22848,22870,22782,22784,22746,22822,22872,3.5113525390625,3.505859375,3.50433349609375,3.5076904296875,3.5009765625,3.511962890625,3.5076904296875,3.502197265625,3.4881591796875,3.486328125,3.48968505859375,3.47625732421875,3.4765625,3.47076416015625,3.48236083984375,3.489990234375
35,1322,195514,0.017,22934,22912,22892,22910,22882,22934,22912,22872,22790,22776,22812,22716,22710,22680,22758,22808,3.49945068359375,3.49609375,3.4930419921875,3.49578857421875,3.49151611328125,3.49945068359375,3.49609375,3.489990234375,3.47747802734375,3.475341796875,3.4808349609375,3.4661865234375,3.46527099609375,3.460693359375,3.47259521484375,3.480224609375
36,1359,195515,0.0175,22960,22952,22926,22942,22918,22990,22940,22904,22820,22804,22828,22744,22738,22704,22778,22812,3.50341796875,3.502197265625,3.49822998046875,3.50067138671875,3.49700927734375,3.50799560546875,3.5003662109375,3.494873046875,3.4820556640625,3.4796142578125,3.4832763671875,3.470458984375,3.46954345703125,3.46435546875,3.47564697265625,3.4808349609375
37,1396,195516,0.018,23008,22986,22956,22984,22940,23028,22984,22950,22856,22850,22844,22778,22768,22736,22802,22866,3.5107421875,3.50738525390625,3.5028076171875,3.507080078125,3.5003662109375,3.5137939453125,3.507080078125,3.50189208984375,3.487548828125,3.48663330078125,3.4857177734375,3.47564697265625,3.47412109375,3.46923828125,3.47930908203125,3.48907470703125
38,1433,195517,0.0185,22988,22972,22946,22970,22936,22996,22962,22934,22844,22828,22838,22772,22748,22726,22796,22844,3.5076904296875,3.5052490234375,3.50128173828125,3.50494384765625,3.499755859375,3.5089111328125,3.50372314453125,3.49945068359375,3.4857177734375,3.4832763671875,3.48480224609375,3.4747314453125,3.4710693359375,3.46771240234375,3.4783935546875,3.4857177734375
39,1470,195518,0.019,22990,22972,22952,22974,22930,22998,22974,22934,22854,22848,22868,22780,22774,22736,22816,22870,3.50799560546875,3.5052490234375,3.502197265625,3.50555419921875,3.49884033203125,3.50921630859375,3.50555419921875,3.49945068359375,3.48724365234375,3.486328125,3.4893798828125,3.4759521484375,3.47503662109375,3.46923828125,3.4814453125,3.48968505859375
40,1507,195519,0.0195,22976,22954,22926,22952,22920,22992,22942,22908,22822,22820,22838,22754,22734,22706,22784,22840,3.505859375,3.50250244140625,3.49822998046875,3.502197265625,3.497314453125,3.50830078125,3.50067138671875,3.4954833984375,3.48236083984375,3.4820556640625,3.48480224609375,3.47198486328125,3.46893310546875,3.46466064453125,3.4765625,3.485107421875
41,1544,195520,0.02,22814,22792,22778,22798,22758,22832,22798,22764,22684,22656,22700,22592,22590,22566,22636,22684,3.48114013671875,3.477783203125,3.47564697265625,3.47869873046875,3.47259521484375,3.48388671875,3.47869873046875,3.4735107421875,3.4613037109375,3.45703125,3.4637451171875,3.447265625,3.44696044921875,3.44329833984375,3.4539794921875,3.4613037109375
42,1581,195521,0.0205,22926,22906,22878,22906,22864,22940,22890,22868,22754,22770,22774,22694,22684,22666,22732,22786,3.49822998046875,3.49517822265625,3.49090576171875,3.49517822265625,3.48876953125,3.5003662109375,3.49273681640625,3.4893798828125,3.47198486328125,3.47442626953125,3.47503662109375,3.46282958984375,3.4613037109375,3.45855712890625,3.4686279296875,3.47686767578125
43,1618,195522,0.021,23022,23010,22978,22996,22980,23048,23006,22962,22886,22876,22898,22810,22796,22762,22844,22878,3.51287841796875,3.51104736328125,3.50616455078125,3.5089111328125,3.5064697265625,3.516845703125,3.51043701171875,3.50372314453125,3.49212646484375,3.4906005859375,3.49395751953125,3.48052978515625,3.4783935546875,3.47320556640625,3.4857177734375,3.49090576171875
44,1655,195523,0.0215,22956,22940,22910,22938,22908,22974,22946,22898,22816,22812,22830,22752,22742,22704,22790,22814,3.5028076171875,3.5003662109375,3.49578857421875,3.50006103515625,3.4954833984375,3.50555419921875,3.50128173828125,3.49395751953125,3.4814453125,3.4808349609375,3.48358154296875,3.4716796875,3.47015380859375,3.46435546875,3.47747802734375,3.48114013671875
