record_index,byte_offset,sample_seq,time_s,device_id,accel_x_raw,accel_x_g,accel_y_raw,accel_y_g,accel_z_raw,accel_z_g,gyro_x_raw,gyro_x_dps,gyro_y_raw,gyro_y_dps,gyro_z_raw,gyro_z_dps,mag_x_raw,mag_y_raw,mag_z_raw,angle_x_raw,angle_x_deg,angle_y_raw,angle_y_deg,angle_z_raw,angle_z_deg,battery_raw,battery_voltage
28,1068,195507,0.0135,2,0,0.0,-14,-0.0068359375,2074,1.0126953125,-3,-0.18310546875,-4,-0.244140625,10,0.6103515625,-24193,2027,31482,-197,-1.0821533203125,-3,-0.0164794921875,18903,103.8372802734375,403,4.03
54,2025,195532,0.026,0,-5,-0.00244140625,-20,-0.009765625,2099,1.02490234375,-9,-0.54931640625,-15,-0.91552734375,4,0.244140625,-8059,-2214,-594,-192,-1.0546875,23,0.1263427734375,-19255,-105.7708740234375,396,3.96
61,2279,195538,0.029,1,-4,-0.001953125,-24,-0.01171875,2056,1.00390625,0,0.0,-15,-0.91552734375,-1,-0.06103515625,-186,-5396,-4818,-98,-0.538330078125,33,0.1812744140625,-32226,-177.022705078125,401,4.01
62,2311,195538,0.029,2,3,0.00146484375,-14,-0.0068359375,2075,1.01318359375,-4,-0.244140625,-4,-0.244140625,10,0.6103515625,-24239,1995,31458,-197,-1.0821533203125,-3,-0.0164794921875,18903,103.8372802734375,403,4.03
74,2750,195549,0.0345,0,-4,-0.001953125,-21,-0.01025390625,2096,1.0234375,-10,-0.6103515625,-15,-0.91552734375,5,0.30517578125,-8077,-2263,-595,-192,-1.0546875,23,0.1263427734375,-19255,-105.7708740234375,396,3.96
75,2782,195549,0.0345,1,-7,-0.00341796875,-20,-0.009765625,2054,1.0029296875,0,0.0,-14,-0.8544921875,-1,-0.06103515625,-203,-5395,-4796,-98,-0.538330078125,33,0.1812744140625,-32226,-177.022705078125,401,4.01
76,2814,195549,0.0345,2,3,0.00146484375,-13,-0.00634765625,2075,1.01318359375,-4,-0.244140625,-4,-0.244140625,10,0.6103515625,-24250,1969,31454,-197,-1.0821533203125,-3,-0.0164794921875,18903,103.8372802734375,403,4.03
88,3253,195560,0.04,0,-4,-0.001953125,-19,-0.00927734375,2098,1.0244140625,-9,-0.54931640625,-15,-0.91552734375,7,0.42724609375,-8068,-2260,-593,-192,-1.0546875,23,0.1263427734375,-19255,-105.7708740234375,396,3.96
90,3322,195561,0.0405,1,-5,-0.00244140625,-19,-0.00927734375,2060,1.005859375,-1,-0.06103515625,-14,-0.8544921875,1,0.06103515625,-222,-5382,-4764,-98,-0.538330078125,34,0.186767578125,-32226,-177.022705078125,401,4.01
93,3428,195563,0.0415,2,3,0.00146484375,-14,-0.0068359375,2075,1.01318359375,-4,-0.244140625,-4,-0.244140625,9,0.54931640625,-24241,1965,31481,-197,-1.0821533203125,-3,-0.0164794921875,18903,103.8372802734375,403,4.03
104,3830,195573,0.0465,0,-5,-0.00244140625,-20,-0.009765625,2101,1.02587890625,-6,-0.3662109375,-13,-0.79345703125,7,0.42724609375,-8095,-2271,-622,-192,-1.0546875,23,0.1263427734375,-19255,-105.7708740234375,396,3.96
107,3936,195575,0.0475,1,-7,-0.00341796875,-17,-0.00830078125,2060,1.005859375,-3,-0.18310546875,-15,-0.91552734375,-3,-0.18310546875,-224,-5364,-4784,-98,-0.538330078125,34,0.186767578125,-32226,-177.022705078125,401,4.01
110,4042,195577,0.0485,2,2,0.0009765625,-14,-0.0068359375,2075,1.01318359375,-4,-0.244140625,-3,-0.18310546875,9,0.54931640625,-24223,1959,31460,-197,-1.0821533203125,-3,-0.0164794921875,18903,103.8372802734375,403,4.03
121,4444,195587,0.0535,0,-3,-0.00146484375,-20,-0.009765625,2098,1.0244140625,-8,-0.48828125,-15,-0.91552734375,6,0.3662109375,-8105,-2260,-609,-192,-1.0546875,23,0.1263427734375,-19255,-105.7708740234375,396,3.96
124,4550,195589,0.0545,1,-5,-0.00244140625,-16,-0.0078125,2061,1.00634765625,0,0.0,-13,-0.79345703125,0,0.0,-224,-5348,-4822,-98,-0.538330078125,34,0.186767578125,-32226,-177.022705078125,400,4.0
131,4804,195595,0.0575,2,2,0.0009765625,-15,-0.00732421875,2077,1.01416015625,-4,-0.244140625,-4,-0.244140625,10,0.6103515625,-24222,2014,31444,-197,-1.0821533203125,-3,-0.0164794921875,18903,103.8372802734375,403,4.03
138,5058,195601,0.0605,0,-3,-0.00146484375,-20,-0.009765625,2098,1.0244140625,-8,-0.48828125,-15,-0.91552734375,6,0.3662109375,-8105,-2260,-609,-192,-1.0546875,23,0.1263427734375,-19255,-105.7708740234375,396,3.96
145,5312,195607,0.0635,1,-7,-0.00341796875,-20,-0.009765625,2057,1.00439453125,-3,-0.18310546875,-14,-0.8544921875,-4,-0.244140625,-200,-5348,-4809,-98,-0.538330078125,34,0.186767578125,-32226,-177.022705078125,400,4.0
146,5344,195607,0.0635,2,2,0.0009765625,-15,-0.00732421875,2076,1.013671875,-3,-0.18310546875,-4,-0.244140625,10,0.6103515625,-24198,2021,31439,-197,-1.0821533203125,-3,-0.0164794921875,18903,103.8372802734375,402,4.02
159,5820,195619,0.0695,0,-6,-0.0029296875,-21,-0.01025390625,2095,1.02294921875,-7,-0.42724609375,-17,-1.03759765625,5,0.30517578125,-8078,-2234,-641,-192,-1.0546875,23,0.1263427734375,-19255,-105.7708740234375,396,3.96
160,5852,195619,0.0695,1,-10,-0.0048828125,-25,-0.01220703125,2053,1.00244140625,0,0.0,-15,-0.91552734375,-3,-0.18310546875,-187,-5330,-4825,-98,-0.538330078125,34,0.186767578125,-32226,-177.022705078125,400,4.0
162,5921,195620,0.07,2,2,0.0009765625,-14,-0.0068359375,2076,1.013671875,-3,-0.18310546875,-4,-0.244140625,10,0.6103515625,-24177,2027,31435,-197,-1.0821533203125,-3,-0.0164794921875,18903,103.8372802734375,402,4.02
174,6360,195631,0.0755,0,-1,-0.00048828125,-17,-0.00830078125,2096,1.0234375,-8,-0.48828125,-15,-0.91552734375,5,0.30517578125,-8064,-2243,-612,-192,-1.0546875,23,0.1263427734375,-19255,-105.7708740234375,396,3.96
175,6392,195631,0.0755,1,-6,-0.0029296875,-17,-0.00830078125,2056,1.00390625,-2,-0.1220703125,-14,-0.8544921875,0,0.0,-220,-5356,-4802,-98,-0.538330078125,34,0.186767578125,-32227,-177.0281982421875,400,4.0
178,6498,195633,0.0765,2,1,0.00048828125,-14,-0.0068359375,2075,1.01318359375,-3,-0.18310546875,-4,-0.244140625,9,0.54931640625,-24140,2038,31428,-197,-1.0821533203125,-3,-0.0164794921875,18903,103.8372802734375,402,4.02
189,6900,195643,0.0815,0,-4,-0.001953125,-18,-0.0087890625,2098,1.0244140625,-7,-0.42724609375,-16,-0.9765625,5,0.30517578125,-8065,-2220,-605,-192,-1.0546875,23,0.1263427734375,-19255,-105.7708740234375,396,3.96
192,7006,195645,0.0825,1,-9,-0.00439453125,-20,-0.009765625,2056,1.00390625,-3,-0.18310546875,-16,-0.9765625,1,0.06103515625,-191,-5354,-4834,-98,-0.538330078125,34,0.186767578125,-32227,-177.0281982421875,400,4.0
195,7112,195647,0.0835,2,1,0.00048828125,-15,-0.00732421875,2075,1.01318359375,-3,-0.18310546875,-4,-0.244140625,10,0.6103515625,-24132,2040,31431,-197,-1.0821533203125,-3,-0.0164794921875,18903,103.8372802734375,402,4.02
206,7514,195657,0.0885,0,-5,-0.00244140625,-19,-0.00927734375,2097,1.02392578125,-11,-0.67138671875,-16,-0.9765625,6,0.3662109375,-8046,-2223,-635,-192,-1.0546875,23,0.1263427734375,-19255,-105.7708740234375,396,3.96
